@relation UniversalBank-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Age numeric
@attribute Experience numeric
@attribute Income numeric
@attribute Family numeric
@attribute CCAvg numeric
@attribute Education {Under,Grad,Prof}
@attribute Mortgage numeric
@attribute SecuritiesAccount {Yes,No}
@attribute CDAccount {No,Yes}
@attribute Online {No,Yes}
@attribute CreditCard {No,Yes}
@attribute PersonalLoan {No,Yes}

@data
0.045455,0.086957,0.189815,1,0.16,Under,0,Yes,No,No,No,No
0.5,0.478261,0.12037,0.666667,0.15,Under,0,Yes,No,No,No,No
0.363636,0.391304,0.013889,0,0.1,Under,0,No,No,No,No,No
0.272727,0.26087,0.425926,0,0.27,Grad,0,No,No,No,No,No
0.272727,0.23913,0.171296,1,0.1,Grad,0,No,No,No,Yes,No
0.318182,0.347826,0.097222,1,0.04,Grad,0.244094,No,No,Yes,No,No
0.681818,0.652174,0.296296,0.333333,0.15,Grad,0,No,No,Yes,No,No
0.613636,0.586957,0.064815,0,0.03,Prof,0,No,No,No,Yes,No
0.272727,0.282609,0.337963,0.666667,0.06,Grad,0.16378,No,No,Yes,No,No
0.25,0.26087,0.796296,0,0.89,Prof,0,No,No,No,No,Yes
0.954545,0.913043,0.449074,1,0.24,Prof,0,No,No,No,No,No
0.136364,0.173913,0.171296,0.666667,0.01,Grad,0,No,No,Yes,No,No
0.568182,0.565217,0.490741,0.333333,0.38,Prof,0,Yes,No,No,No,No
0.818182,0.76087,0.148148,1,0.25,Grad,0,No,No,Yes,No,No
1,0.956522,0.481481,0,0.2,Under,0,Yes,No,No,No,No
0.840909,0.717391,0.064815,0,0.15,Prof,0,No,No,Yes,Yes,No
0.340909,0.369565,0.564815,1,0.47,Prof,0.211024,No,No,No,No,Yes
0.431818,0.456522,0.337963,1,0.24,Under,0,No,No,No,No,No
0.522727,0.521739,0.856481,0.333333,0.81,Prof,0,No,No,No,No,Yes
0.727273,0.673913,0.060185,0,0.05,Grad,0,Yes,No,No,Yes,No
0.75,0.73913,0.078704,1,0.09,Grad,0.174803,No,No,Yes,No,No
0.772727,0.652174,0.25463,0.666667,0.2,Prof,0,No,No,Yes,No,No
0.136364,0.173913,0.25,0,0.12,Under,0.409449,No,No,Yes,No,No
0.477273,0.456522,0.162037,0.333333,0.07,Under,0.256693,Yes,No,No,No,No
