@relation UniversalBank-weka.filters.unsupervised.attribute.Remove-R4

@attribute Age numeric
@attribute Experience numeric
@attribute Income numeric
@attribute Family numeric
@attribute CCAvg numeric
@attribute Education {Under,Grad,Prof}
@attribute Mortgage numeric
@attribute SecuritiesAccount {Yes,No}
@attribute CDAccount {No,Yes}
@attribute Online {No,Yes}
@attribute CreditCard {No,Yes}
@attribute PersonalLoan {No,Yes}

@data
25,1,49,4,1.6,Under,0,Yes,No,No,No,No
45,19,34,3,1.5,Under,0,Yes,No,No,No,No
39,15,11,1,1,Under,0,No,No,No,No,No
35,9,100,1,2.7,Grad,0,No,No,No,No,No
35,8,45,4,1,Grad,0,No,No,No,Yes,No
37,13,29,4,0.4,Grad,155,No,No,Yes,No,No
53,27,72,2,1.5,Grad,0,No,No,Yes,No,No
50,24,22,1,0.3,Prof,0,No,No,No,Yes,No
35,10,81,3,0.6,Grad,104,No,No,Yes,No,No
34,9,180,1,8.9,Prof,0,No,No,No,No,Yes
65,39,105,4,2.4,Prof,0,No,No,No,No,No
29,5,45,3,0.1,Grad,0,No,No,Yes,No,No
48,23,114,2,3.8,Prof,0,Yes,No,No,No,No
59,32,40,4,2.5,Grad,0,No,No,Yes,No,No
67,41,112,1,2,Under,0,Yes,No,No,No,No
60,30,22,1,1.5,Prof,0,No,No,Yes,Yes,No
38,14,130,4,4.7,Prof,134,No,No,No,No,Yes
42,18,81,4,2.4,Under,0,No,No,No,No,No
46,21,193,2,8.1,Prof,0,No,No,No,No,Yes
55,28,21,1,0.5,Grad,0,Yes,No,No,Yes,No
56,31,25,4,0.9,Grad,111,No,No,Yes,No,No
57,27,63,3,2,Prof,0,No,No,Yes,No,No
29,5,62,1,1.2,Under,260,No,No,Yes,No,No
44,18,43,2,0.7,Under,163,Yes,No,No,No,No
36,11,152,2,3.9,Under,159,No,No,No,Yes,No
43,19,29,3,0.5,Under,97,No,No,Yes,No,No
40,16,83,4,0.2,Prof,0,No,No,No,No,No
46,20,158,1,2.4,Under,0,No,No,Yes,Yes,No
56,30,48,1,2.2,Prof,0,No,No,Yes,Yes,No
38,13,119,1,3.3,Grad,0,No,Yes,Yes,Yes,Yes
59,35,35,1,1.2,Prof,122,No,No,Yes,No,No
40,16,29,1,2,Grad,0,No,No,Yes,No,No
53,28,41,2,0.6,Prof,193,No,No,No,No,No
30,6,18,3,0.9,Prof,0,No,No,No,No,No
