@relation 'd-weka.filters.unsupervised.attribute.StringToNominal-R3,8,10,12,14-weka.filters.unsupervised.attribute.Remove-R10,13-14-weka.filters.unsupervised.attribute.NumericToNominal-R1,5,6,7,9-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R7'

@attribute pclass {1,2,3}
@attribute survived {0,1}
@attribute sex {female,male}
@attribute age {0.1667,0.3333,0.4167,0.6667,0.75,0.8333,0.9167,1,2,3,4,5,6,7,8,9,10,11,11.5,12,13,14,14.5,15,16,17,18,18.5,19,20,20.5,21,22,22.5,23,23.5,24,24.5,25,26,26.5,27,28,28.5,29,30,30.5,31,32,32.5,33,34,34.5,35,36,36.5,37,38,38.5,39,40,40.5,41,42,43,44,45,45.5,46,47,48,49,50,51,52,53,54,55,55.5,56,57,58,59,60,60.5,61,62,63,64,65,66,67,70,70.5,71,74,76,80}
@attribute sibsp {0,1,2,3,4,5,8}
@attribute parch {0,1,2,3,4,5,6,9}
@attribute fare {0,3.1708,4.0125,5,6.2375,6.4375,6.45,6.4958,6.75,6.8583,6.95,6.975,7,7.0458,7.05,7.0542,7.125,7.1417,7.225,7.2292,7.25,7.2833,7.3125,7.4958,7.5208,7.55,7.575,7.5792,7.6292,7.65,7.7208,7.725,7.7292,7.7333,7.7375,7.7417,7.75,7.775,7.7792,7.7875,7.7958,7.8,7.8208,7.8292,7.85,7.8542,7.875,7.8792,7.8875,7.8958,7.925,8.0292,8.05,8.1125,8.1375,8.1583,8.3,8.3625,8.4042,8.4333,8.4583,8.5167,8.6542,8.6625,8.6833,8.7125,8.85,8.9625,9,9.2167,9.225,9.325,9.35,9.475,9.4833,9.5,9.5875,9.6875,9.825,9.8375,9.8417,9.8458,10.1708,10.4625,10.5,10.5167,10.7083,11.1333,11.2417,11.5,12,12.1833,12.275,12.2875,12.35,12.475,12.525,12.65,12.7375,12.875,13,13.4167,13.5,13.775,13.7917,13.8583,13.8625,13.9,14,14.1083,14.4,14.4542,14.4583,14.5,15,15.0333,15.0458,15.05,15.1,15.2458,15.5,15.55,15.5792,15.7417,15.75,15.85,15.9,16,16.1,16.7,17.4,17.8,18,18.75,18.7875,19.2583,19.5,19.9667,20.2125,20.25,20.525,20.575,21,21.075,21.6792,22.025,22.3583,22.525,23,23.25,23.45,24,24.15,25.4667,25.5875,25.7,25.7417,25.925,25.9292,26,26.25,26.2833,26.2875,26.3875,26.55,27,27.4458,27.7208,27.75,27.9,28.5,28.5375,28.7125,29,29.125,29.7,30,30.0708,30.5,30.6958,31,31.275,31.3875,31.5,31.6792,31.6833,32.3208,32.5,33,33.5,34.0208,34.375,34.6542,35,35.5,36.75,37.0042,38.5,39,39.4,39.6,39.6875,40.125,41.5792,42.4,42.5,45.5,46.9,47.1,49.5,49.5042,50,50.4958,51.4792,51.8625,52,52.5542,53.1,55,55.4417,55.9,56.4958,56.9292,57,57.75,57.9792,59.4,60,61.175,61.3792,61.9792,63.3583,65,66.6,69.3,69.55,71,71.2833,73.5,75.2417,75.25,76.2917,76.7292,77.2875,77.9583,78.2667,78.85,79.2,79.65,80,81.8583,82.1708,82.2667,83.1583,83.475,86.5,89.1042,90,91.0792,93.5,106.425,108.9,110.8833,113.275,120,133.65,134.5,135.6333,136.7792,146.5208,151.55,153.4625,164.8667,211.3375,211.5,221.7792,227.525,247.5208,262.375,263,512.3292}
@attribute embarked {C,Q,S}
@attribute boat {2,11,3,10,D,4,9,6,B,8,A,5,7,C,14,'5 9',13,1,15,'5 7','8 10',12,16,'13 15 B','C D','15 16','13 15'}

@data
1,1,female,29,0,0,211.3375,S,2
1,1,male,0.9167,1,2,151.55,S,11
1,0,female,2,1,2,151.55,S,?
1,0,male,30,1,2,151.55,S,?
1,0,female,25,1,2,151.55,S,?
1,1,male,48,0,0,26.55,S,3
1,1,female,63,1,0,77.9583,S,10
1,0,male,39,0,0,0,S,?
1,1,female,53,2,0,51.4792,S,D
1,0,male,71,0,0,49.5042,C,?
1,0,male,47,1,0,227.525,C,?
1,1,female,18,1,0,227.525,C,4
1,1,female,24,0,0,69.3,C,9
1,1,female,26,0,0,78.85,S,6
1,1,male,80,0,0,30,S,B
1,0,male,?,0,0,25.925,S,?
1,0,male,24,0,1,247.5208,C,?
1,1,female,50,0,1,247.5208,C,6
1,1,female,32,0,0,76.2917,C,8
1,0,male,36,0,0,75.2417,C,A
1,1,male,37,1,1,52.5542,S,5
1,1,female,47,1,1,52.5542,S,5
1,1,male,26,0,0,30,C,5
1,1,female,42,0,0,227.525,C,4
1,1,female,29,0,0,221.7792,S,8
1,0,male,25,0,0,26,C,?
1,1,male,25,1,0,91.0792,C,7
1,1,female,19,1,0,91.0792,C,7
1,1,female,35,0,0,135.6333,S,8
1,1,male,28,0,0,26.55,S,D
1,0,male,45,0,0,35.5,S,?
1,1,male,40,0,0,31,C,7
1,1,female,30,0,0,164.8667,S,8
1,1,female,58,0,0,26.55,S,8
1,0,male,42,0,0,26.55,S,?
1,1,female,45,0,0,262.375,C,4
1,1,female,22,0,1,55,S,6
1,1,male,?,0,0,26.55,S,9
1,0,male,41,0,0,30.5,S,?
1,0,male,48,0,0,50.4958,C,?
1,0,male,?,0,0,39.6,C,?
1,1,female,44,0,0,27.7208,C,6
1,1,female,59,2,0,51.4792,S,D
1,1,female,60,0,0,76.2917,C,8
1,1,female,41,0,0,134.5,C,3
1,0,male,45,0,0,26.55,S,?
1,0,male,?,0,0,31,S,?
1,1,male,42,0,0,26.2875,S,5
1,1,female,53,0,0,27.4458,C,6
1,1,male,36,0,1,512.3292,C,3
1,1,female,58,0,1,512.3292,C,3
1,0,male,33,0,0,5,S,?
1,0,male,28,0,0,47.1,S,?
1,0,male,17,0,0,47.1,S,?
1,1,male,11,1,2,120,S,4
1,1,female,14,1,2,120,S,4
1,1,male,36,1,2,120,S,C
1,1,female,36,1,2,120,S,4
1,0,male,49,0,0,26,S,?
1,1,female,?,0,0,27.7208,C,5
1,0,male,36,1,0,78.85,S,?
1,1,female,76,1,0,78.85,S,6
1,0,male,46,1,0,61.175,S,?
1,1,female,47,1,0,61.175,S,4
1,1,male,27,1,0,53.1,S,5
1,1,female,33,1,0,53.1,S,5
1,1,female,36,0,0,262.375,C,4
1,1,female,30,0,0,86.5,S,8
1,1,male,45,0,0,29.7,C,7
1,1,female,?,0,1,55,S,6
1,0,male,?,0,0,0,S,?
1,0,male,27,1,0,136.7792,C,?
1,1,female,26,1,0,136.7792,C,4
1,1,female,22,0,0,151.55,S,11
1,0,male,?,0,0,52,S,?
1,0,male,47,0,0,25.5875,S,?
1,1,female,39,1,1,83.1583,C,14
1,0,male,37,1,1,83.1583,C,?
1,1,female,64,0,2,83.1583,C,14
1,1,female,55,2,0,25.7,S,2
1,0,male,?,0,0,26.55,S,?
1,0,male,70,1,1,71,S,?
1,1,female,36,0,2,71,S,7
1,1,female,64,1,1,26.55,S,7
1,0,male,39,1,0,71.2833,C,?
1,1,female,38,1,0,71.2833,C,4
1,1,male,51,0,0,26.55,S,'5 9'
1,1,male,27,0,0,30.5,S,3
1,1,female,33,0,0,151.55,S,8
1,0,male,31,1,0,52,S,?
