@relation 'd-weka.filters.unsupervised.attribute.StringToNominal-R12,14-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.Remove-R8,10,13-14-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R5-9-weka.filters.unsupervised.attribute.Reorder-R1,3-4,2-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute pclass {1,2,3}
@attribute sex {female,male}
@attribute age numeric
@attribute survived {0,1}

@data
1,female,0.361169,1
1,male,0.009395,1
1,female,0.022964,0
1,male,0.373695,0
1,female,0.311064,0
1,male,0.599165,1
1,female,0.787056,1
1,male,0.48643,0
1,female,0.661795,1
1,male,0.887265,0
1,male,0.586639,0
1,female,0.223382,1
1,female,0.298538,1
1,female,0.323591,1
1,male,1,1
1,male,?,0
1,male,0.298538,0
1,female,0.624217,1
1,female,0.398747,1
1,male,0.448852,0
1,male,0.461378,1
1,female,0.586639,1
1,male,0.323591,1
1,female,0.524008,1
1,female,0.361169,1
1,male,0.311064,0
1,male,0.311064,1
1,female,0.235908,1
1,female,0.436325,1
1,male,0.348643,1
1,male,0.561586,0
1,male,0.498956,1
1,female,0.373695,1
1,female,0.724426,1
1,male,0.524008,0
1,female,0.561586,1
1,female,0.273486,1
1,male,?,1
1,male,0.511482,0
1,male,0.599165,0
1,male,?,0
1,female,0.54906,1
1,female,0.736952,1
1,female,0.749478,1
1,female,0.511482,1
1,male,0.561586,0
1,male,?,0
1,male,0.524008,1
1,female,0.661795,1
1,male,0.448852,1
1,female,0.724426,1
1,male,0.411273,0
1,male,0.348643,0
1,male,0.210856,0
1,male,0.135699,1
1,female,0.173277,1
1,male,0.448852,1
1,female,0.448852,1
1,male,0.611691,0
1,female,?,1
1,male,0.448852,0
1,female,0.949896,1
1,male,0.574113,0
1,female,0.586639,1
1,male,0.336117,1
1,female,0.411273,1
1,female,0.448852,1
1,female,0.373695,1
1,male,0.561586,1
1,female,?,1
1,male,?,0
1,male,0.336117,0
1,female,0.323591,1
1,female,0.273486,1
1,male,?,0
1,male,0.586639,0
1,female,0.48643,1
1,male,0.461378,0
1,female,0.799582,1
1,female,0.686847,1
1,male,?,0
1,male,0.874739,0
1,female,0.448852,1
1,female,0.799582,1
1,male,0.48643,0
1,female,0.473904,1
1,male,0.636743,1
1,male,0.336117,1
1,female,0.411273,1
1,male,0.386221,0
1,female,0.336117,1
1,male,0.386221,1
1,female,0.210856,1
1,male,0.661795,1
1,male,0.048016,1
1,female,0.674321,1
1,male,0.624217,0
1,female,0.336117,1
1,female,0.599165,1
1,female,0.599165,1
1,male,0.611691,1
1,male,0.48643,0
1,female,0.286012,1
1,female,0.473904,1
1,female,0.674321,1
1,female,0.448852,0
1,male,?,0
1,female,?,1
1,female,?,1
