@relation 'd-weka.filters.unsupervised.attribute.StringToNominal-R12,14-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.Remove-R8,10,13-14-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace객실등급-R1-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace생존여부-R2-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace성별-R3-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace나이-R4-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace동승_형제_배우자수-R5-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace동승_부모_자녀수-R6-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace요금-R7-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace탑승위치-R8-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace구명보트번호-Rlast-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:1등급,2:2등급,3:3등급-weka.filters.unsupervised.attribute.RenameNominalValues-R2-N0:사망,1:생존-weka.filters.unsupervised.attribute.RenameNominalValues-R3-Nfemale:여성,male:남성'

@attribute 객실등급 {1등급,2등급,3등급}
@attribute 생존여부 {사망,생존}
@attribute 성별 {여성,남성}
@attribute 나이 numeric
@attribute 동승_형제_배우자수 numeric
@attribute 동승_부모_자녀수 numeric
@attribute 요금 numeric
@attribute 탑승위치 {C,Q,S}
@attribute 구명보트번호 {2,11,3,10,D,4,9,6,B,8,A,5,7,C,14,'5 9',13,1,15,'5 7','8 10',12,16,'13 15 B','C D','15 16','13 15'}

@data
1등급,생존,여성,29,0,0,211.3375,S,2
1등급,생존,남성,0.9167,1,2,151.55,S,11
1등급,사망,여성,2,1,2,151.55,S,?
1등급,사망,남성,30,1,2,151.55,S,?
1등급,사망,여성,25,1,2,151.55,S,?
1등급,생존,남성,48,0,0,26.55,S,3
1등급,생존,여성,63,1,0,77.9583,S,10
1등급,사망,남성,39,0,0,0,S,?
1등급,생존,여성,53,2,0,51.4792,S,D
1등급,사망,남성,71,0,0,49.5042,C,?
1등급,사망,남성,47,1,0,227.525,C,?
1등급,생존,여성,18,1,0,227.525,C,4
1등급,생존,여성,24,0,0,69.3,C,9
1등급,생존,여성,26,0,0,78.85,S,6
1등급,생존,남성,80,0,0,30,S,B
1등급,사망,남성,?,0,0,25.925,S,?
1등급,사망,남성,24,0,1,247.5208,C,?
1등급,생존,여성,50,0,1,247.5208,C,6
1등급,생존,여성,32,0,0,76.2917,C,8
1등급,사망,남성,36,0,0,75.2417,C,A
1등급,생존,남성,37,1,1,52.5542,S,5
1등급,생존,여성,47,1,1,52.5542,S,5
1등급,생존,남성,26,0,0,30,C,5
1등급,생존,여성,42,0,0,227.525,C,4
1등급,생존,여성,29,0,0,221.7792,S,8
1등급,사망,남성,25,0,0,26,C,?
1등급,생존,남성,25,1,0,91.0792,C,7
1등급,생존,여성,19,1,0,91.0792,C,7
1등급,생존,여성,35,0,0,135.6333,S,8
1등급,생존,남성,28,0,0,26.55,S,D
1등급,사망,남성,45,0,0,35.5,S,?
1등급,생존,남성,40,0,0,31,C,7
1등급,생존,여성,30,0,0,164.8667,S,8
1등급,생존,여성,58,0,0,26.55,S,8
1등급,사망,남성,42,0,0,26.55,S,?
1등급,생존,여성,45,0,0,262.375,C,4
1등급,생존,여성,22,0,1,55,S,6
1등급,생존,남성,?,0,0,26.55,S,9
1등급,사망,남성,41,0,0,30.5,S,?
1등급,사망,남성,48,0,0,50.4958,C,?
