@relation 'd-weka.filters.unsupervised.attribute.StringToNominal-R12,14-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.Remove-R8,10,13-14-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace객실등급-R1-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace생존여부-R2-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace성별-R3-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace나이-R4-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace동승_형제_배우자수-R5-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace동승_부모_자녀수-R6-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace요금-R7-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace탑승위치-R8-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace구명보트번호-Rlast-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:1등급,2:2등급,3:3등급-weka.filters.unsupervised.attribute.RenameNominalValues-R2-N0:사망,1:생존-weka.filters.unsupervised.attribute.RenameNominalValues-R3-Nfemale:여성,male:남성-weka.filters.unsupervised.attribute.Reorder-R1,3-last,2-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute 객실등급 {1등급,2등급,3등급}
@attribute 성별 {여성,남성}
@attribute 나이 numeric
@attribute 동승_형제_배우자수 numeric
@attribute 동승_부모_자녀수 numeric
@attribute 요금 numeric
@attribute 탑승위치 {C,Q,S}
@attribute 구명보트번호 {2,11,3,10,D,4,9,6,B,8,A,5,7,C,14,'5 9',13,1,15,'5 7','8 10',12,16,'13 15 B','C D','15 16','13 15'}
@attribute 생존여부 {사망,생존}

@data
1등급,여성,0.361169,0,0,0.412503,S,2,생존
1등급,남성,0.009395,0.125,0.222222,0.295806,S,11,생존
1등급,여성,0.022964,0.125,0.222222,0.295806,S,?,사망
1등급,남성,0.373695,0.125,0.222222,0.295806,S,?,사망
1등급,여성,0.311064,0.125,0.222222,0.295806,S,?,사망
1등급,남성,0.599165,0,0,0.051822,S,3,생존
1등급,여성,0.787056,0.125,0,0.152164,S,10,생존
1등급,남성,0.48643,0,0,0,S,?,사망
1등급,여성,0.661795,0.25,0,0.100481,S,D,생존
1등급,남성,0.887265,0,0,0.096626,C,?,사망
1등급,남성,0.586639,0.125,0,0.444099,C,?,사망
1등급,여성,0.223382,0.125,0,0.444099,C,4,생존
1등급,여성,0.298538,0,0,0.135265,C,9,생존
1등급,여성,0.323591,0,0,0.153905,S,6,생존
1등급,남성,1,0,0,0.058556,S,B,생존
1등급,남성,?,0,0,0.050602,S,?,사망
1등급,남성,0.298538,0,0.111111,0.483128,C,?,사망
1등급,여성,0.624217,0,0.111111,0.483128,C,6,생존
1등급,여성,0.398747,0,0,0.148911,C,8,생존
1등급,남성,0.448852,0,0,0.146862,C,A,사망
1등급,남성,0.461378,0.125,0.111111,0.102579,S,5,생존
1등급,여성,0.586639,0.125,0.111111,0.102579,S,5,생존
1등급,남성,0.323591,0,0,0.058556,C,5,생존
1등급,여성,0.524008,0,0,0.444099,C,4,생존
1등급,여성,0.361169,0,0,0.432884,S,8,생존
1등급,남성,0.311064,0,0,0.050749,C,?,사망
1등급,남성,0.311064,0.125,0,0.177775,C,7,생존
1등급,여성,0.235908,0.125,0,0.177775,C,7,생존
1등급,여성,0.436325,0,0,0.264739,S,8,생존
1등급,남성,0.348643,0,0,0.051822,S,D,생존
1등급,남성,0.561586,0,0,0.069291,S,?,사망
1등급,남성,0.498956,0,0,0.060508,C,7,생존
1등급,여성,0.373695,0,0,0.321798,S,8,생존
1등급,여성,0.724426,0,0,0.051822,S,8,생존
1등급,남성,0.524008,0,0,0.051822,S,?,사망
1등급,여성,0.561586,0,0,0.512122,C,4,생존
1등급,여성,0.273486,0,0.111111,0.107353,S,6,생존
1등급,남성,?,0,0,0.051822,S,9,생존
1등급,남성,0.511482,0,0,0.059532,S,?,사망
1등급,남성,0.599165,0,0,0.098561,C,?,사망
1등급,남성,?,0,0,0.077294,C,?,사망
1등급,여성,0.54906,0,0,0.054107,C,6,생존
1등급,여성,0.736952,0.25,0,0.100481,S,D,생존
1등급,여성,0.749478,0,0,0.148911,C,8,생존
1등급,여성,0.511482,0,0,0.262527,C,3,생존
1등급,남성,0.561586,0,0,0.051822,S,?,사망
1등급,남성,?,0,0,0.060508,S,?,사망
1등급,남성,0.524008,0,0,0.05131,S,5,생존
1등급,여성,0.661795,0,0,0.053571,C,6,생존
1등급,남성,0.448852,0,0.111111,1,C,3,생존
1등급,여성,0.724426,0,0.111111,1,C,3,생존
1등급,남성,0.411273,0,0,0.009759,S,?,사망
1등급,남성,0.348643,0,0,0.091933,S,?,사망
