@relation 'd-weka.filters.unsupervised.attribute.StringToNominal-R12,14-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.Remove-R8,10,13-14-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace객실등급-R1-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace생존여부-R2-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace성별-R3-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace나이-R4-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace동승_형제_배우자수-R5-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace동승_부모_자녀수-R6-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace요금-R7-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace탑승위치-R8-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace구명보트번호-Rlast-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:1등급,2:2등급,3:3등급-weka.filters.unsupervised.attribute.RenameNominalValues-R2-N0:사망,1:생존-weka.filters.unsupervised.attribute.RenameNominalValues-R3-Nfemale:여성,male:남성-weka.filters.unsupervised.attribute.Reorder-R1,3-last,2-weka.filters.unsupervised.attribute.Standardize'

@attribute 객실등급 {1등급,2등급,3등급}
@attribute 성별 {여성,남성}
@attribute 나이 numeric
@attribute 동승_형제_배우자수 numeric
@attribute 동승_부모_자녀수 numeric
@attribute 요금 numeric
@attribute 탑승위치 {C,Q,S}
@attribute 구명보트번호 {2,11,3,10,D,4,9,6,B,8,A,5,7,C,14,'5 9',13,1,15,'5 7','8 10',12,16,'13 15 B','C D','15 16','13 15'}
@attribute 생존여부 {사망,생존}

@data
1등급,여성,-0.061133,-0.478904,-0.444829,3.439849,S,2,생존
1등급,남성,-2.009535,0.481104,1.865813,2.284729,S,11,생존
1등급,여성,-1.934376,0.481104,1.865813,2.284729,S,?,사망
1등급,남성,0.008247,0.481104,1.865813,2.284729,S,?,사망
1등급,여성,-0.33865,0.481104,1.865813,2.284729,S,?,사망
1등급,남성,1.257076,-0.478904,-0.444829,-0.130326,S,3,생존
1등급,여성,2.297767,0.481104,-0.444829,0.862905,S,10,생존
1등급,남성,0.632661,-0.478904,-0.444829,-0.643283,S,?,사망
1등급,여성,1.603973,1.441112,-0.444829,0.351317,S,D,생존
1등급,남성,2.852802,-0.478904,-0.444829,0.31316,C,?,사망
1등급,남성,1.187697,0.481104,-0.444829,3.752599,C,?,사망
1등급,여성,-0.824306,0.481104,-0.444829,3.752599,C,4,생존
1등급,여성,-0.40803,-0.478904,-0.444829,0.695623,C,9,생존
1등급,여성,-0.269271,-0.478904,-0.444829,0.880133,S,6,생존
1등급,남성,3.477217,-0.478904,-0.444829,-0.06367,S,B,생존
1등급,남성,?,-0.478904,-0.444829,-0.142401,S,?,사망
1등급,남성,-0.40803,-0.478904,0.710492,4.138926,C,?,사망
1등급,여성,1.395835,-0.478904,0.710492,4.138926,C,6,생존
1등급,여성,0.147006,-0.478904,-0.444829,0.830706,C,8,생존
1등급,남성,0.424523,-0.478904,-0.444829,0.810419,C,A,사망
1등급,남성,0.493903,0.481104,0.710492,0.372087,S,5,생존
1등급,여성,1.187697,0.481104,0.710492,0.372087,S,5,생존
1등급,남성,-0.269271,-0.478904,-0.444829,-0.06367,C,5,생존
1등급,여성,0.8408,-0.478904,-0.444829,3.752599,C,4,생존
1등급,여성,-0.061133,-0.478904,-0.444829,3.641588,S,8,생존
1등급,남성,-0.33865,-0.478904,-0.444829,-0.140952,C,?,사망
